name,ingredients
Праздничный сырно-грибной шар,"{'Сыр сливочный': '75 г', 'Моцарелла': '125 г', 'Маскарпоне': '125 г', 'Сыр голубой': '75 г', 'Грибы': '0.5 стак.', 'Соевый соус': '2 ч. л.', 'Бальзамик': '1 ч. л.', 'Специи': 'по вкусу', 'Орехи грецкие': '0.5 стак.', 'Клюква': '2 ст. л.', 'Масло оливковое': '1 ст. л.'}"
Пирожки из Нанта,"{'Мука пшеничная': '400 г', 'Вода': '110 мл', 'Сахар': '200 г', 'Ванильный сахар': '1 ст. л.', 'Дрожжи': '1 ст. л.', 'Масло сливочное': '100 г', 'Коньяк': '3 ст. л.', 'Яйцо куриное': '1 шт', 'Масло растительное': '300 мл', 'Сахар коричневый': '3 ст. л.'}"
Морковный пирог с ягодами,"{'Морковь': '0,5 кг', 'Сахарная пудра': '2 стак.', 'Желток яичный': '3 шт', 'Мука пшеничная': '2,5 стак.', 'Сода': '1 ч. л.', 'Изюм': '0,5 стак.', 'Смородина красная': '1 стак.', 'Смородина черная': '1 стак.', 'Сахар': '1 стак.'}"
"Камбала Дюглер, Sole Duglere","{'Камбала': '800 г', 'Помидор': '2 шт', 'Лук репчатый': '2 шт', 'Вино белое сухое': '150 г', 'Сливки': '150 г', 'Мука пшеничная': '3 ст. л.', 'Масло сливочное': '2 ст. л.'}"
Вишнёвый мохито на зиму,"{'Вишня': '300 г', 'Лимон': '2 шт', 'Мята': '2 шт', 'Сахар': '200 г', 'Вода': '2,7 л'}"
Томатная паста по-домашнему,"{'Помидор': '16 кг', 'Вода': '1 л'}"
Ягодный мультизлаковый смузи,"{'Хлопья злаковые': '150 г', 'Йогурт': '0,5 л', 'Ассорти ягодное': '400 г', 'Мед': '2 ст. л.'}"
"Фаршированная куриная грудка ""Радуга""","{'Филе куриное': '2 шт', 'Цуккини': '1 шт', 'Перец болгарский': '1 шт', 'Помидор': '2 шт', 'Сыр твердый': '150 г', 'Тимьян': '1 ч. л.', 'Соль': '1 ч. л.'}"
"Салат из цветной капусты ""Простой""","{'Капуста цветная': '1 вилок', 'Майонез': '3 ст. л.', 'Укроп': '1 пуч.', 'Петрушка': '2 шт'}"
"Кекс ""Всe в мармеладе""","{'Мука пшеничная': '1 стак.', 'Майонез': '250 г', 'Яйцо куриное': '3 шт', 'Ванильный сахар': '1  пач.', 'Мармелад': '200 г', 'Маршмеллоу': '25 г', 'Масло шоколадное': '30 г'}"
Печенье кофейное с молоком,"{'Мука пшеничная': '450 г', 'Молоко': '50 мл', 'Яйцо куриное': '2 шт', 'Разрыхлитель теста': '2 ч. л.', 'Кофе растворимый': '3 ч. л.', 'Масло сливочное': '200 г', 'Сахар': '200 г'}"
Коктейльное сырное печенье,"{'Мука пшеничная': '220 г', 'Масло сливочное': '120 г', 'Сыр твердый': '150 г', 'Молоко': '60 мл', 'Перец кайен': '1 щепот.', 'Соус': '1 ч. л.'}"
"Пряники ""Осенний микс""","{'Мука пшеничная': '400 г', 'Сахар': '120 г', 'Яйцо куриное': '4 шт', 'Маргарин': '200 г', 'Ванильный сахар': '10 г', 'Разрыхлитель теста': '3 ч. л.', 'Корица': '1 ч. л.', 'Изюм': '20 г', 'Груша': '2 шт', 'Яблоко': '2 шт', 'Сахарная пудра': 'по вкусу'}"
Легкий фитнес-салат,"{'Капуста пекинская': '1 шт', 'Сыр твердый': '20 г', 'Сметана': '2 ст. л.', 'Горошек зеленый': '3 ст. л.'}"
Банановое суфле без муки и масла,"{'Банан': '4 шт', 'Сахар': '3 ст. л.', 'Сливки': '120 мл', 'Яйцо куриное': '2 шт', 'Цедра лимона': '1 шт', 'Сок лимонный': '2 ч. л.'}"
Пирог с творожно-тыквенной начинкой,"{'Масло сливочное': '90 г', 'Яйцо куриное': '2 шт', 'Сахар': '9 ст. л.', 'Сода': '0.3 ч. л.', 'Мука пшеничная': '220 г', 'Тыква': '200 г', 'Творог': '250 г', 'Сметана': '5 ст. л.', 'Крупа манная': '1 ст. л.'}"
"Салат из чечевицы, помидоров и брынзы","{'Чечевица': '75 г', 'Брынза': '100 г', 'Помидор': '3 шт', 'Укроп': '1 пуч.', 'Петрушка': '1 пуч.', 'Лук зеленый': '1 пуч.', 'Орехи грецкие': '70 г', 'Сок': '70 мл', 'Масло оливковое': '1 ч. л.', 'Чеснок': '1 зуб.', 'Мед': '1 ч. л.', 'Соль': 'по вкусу'}"
Киш с шпинатом и брынзой,"{'Тесто слоеное бездрожжевое': '1 упак.', 'Шпинат': '5 пуч.', 'Укроп': '1 пуч.', 'Брынза': '250 г', 'Сливки': '170 мл', 'Яйцо куриное': '4 шт', 'Пармезан': '150 г', 'Лимон': '1 шт', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
Сливочные вафли с шоколадом,"{'Сливки': '150 г', 'Яйцо куриное': '4 шт', 'Сахар': '200 г', 'Масло сливочное': '200 г', 'Шоколад молочный': '80 г', 'Мука пшеничная': '200 г'}"
"Закуска ""Картофельные Бочонки""","{'Картофель': '4 шт', 'Соль': 'по вкусу', 'Чеснок': '1 зуб.', 'Сыр творожный': '100 г', 'Помидор': '1 шт', 'Перец черный': 'по вкусу', 'Маш': '2 ст. л.'}"
"Пирог к завтраку ""Сытный""","{'Кефир': '200 мл', 'Мука пшеничная': '250 г', 'Яйцо куриное': '2 шт', 'Соевый соус': '100 мл', 'Разрыхлитель теста': '1 ч. л.', 'Сыр твердый': '150 г', 'Ветчина': '180 г', 'Горошек зеленый': '0.5 стак.'}"
Балтийский хлеб,"{'Мука пшеничная': '3 стак.', 'Мука ржаная': '1,5 стак.', 'Тмин': '1 ст. л.', 'Соль': '2 ст. л.', 'Масло сливочное': '3 ст. л.', 'Мед': '0,25 стак.', 'Вода': '1,25 стак.', 'Дрожжи': '2 ч. л.', 'Сахар коричневый': '1 ч. л.'}"
Бублики с сыром в беконе,"{'Хлебобулочные изделия': '2 шт', 'Сыр плавленый': '100 г', 'Бекон': '200 г'}"
"Салат ""Пять минут""","{'Сыр твердый': '50 г', 'Колбаски': '60 г', 'Огурец маринованный': '1 шт', 'Морковь': '1 шт', 'Майонез': '3 ст. л.', 'Чеснок': '1 зуб.', 'Зелень': '1 пуч.'}"
"Мясные оладьи ""Ежики""","{'Свинина': '500 г', 'Яйцо куриное': '2 шт', 'Крупа манная': '2 ст. л.', 'Майонез': '2 ст. л.', 'Чеснок': '2 зуб.'}"
Большие блины,"{'Молоко': '500 мл', 'Мука пшеничная': '150 г', 'Яйцо куриное': '2 шт', 'Масло сливочное': '50 г', 'Соль': '5 г', 'Сахар': '10 г', 'Сода гашеная уксусом': '1 ч. л.'}"
Салат с блинами,"{'Рыба': '100 г', 'Орехи кешью': '40 г', 'Сыр сливочный': '100 г', 'Йогурт': '100 мл', 'Масло оливковое': '2 ст. л.', 'Карри': 'по вкусу', 'Листья салата': '100 г', 'Блин': '2 шт'}"
Окрошка с форелью,"{'Квас': '0,75 л', 'Заправка': '0,5 пакет.', 'Лук зеленый': '3 шт', 'Укроп': '3 веточ.', 'Огурец': '1 шт', 'Редис': '5 шт', 'Форель': '1 бан.', 'Картофель': '2 шт', 'Яйцо куриное': '2 шт', 'Сметана': '3 ст. л.', 'Соль': '1 ч. л.', 'Сахар': '1 ч. л.'}"
Манговый сорбет с мятным песто,"{'Лайм': '1 шт', 'Мята': '1 пуч.', 'Орехи кедровые': '30 г', 'Масло оливковое': '50 г', 'Сахар тростниковый': '50 г', 'Манго': '2 шт', 'Нектарин': '2 шт', 'Сок': '50 г'}"
Корзинка с клубникой,"{'Белок яичный': '4 шт', 'Сахар': '200 г', 'Клубника': '500 г', 'Сливки': '2 пач.'}"
"Ликер ""Сладкая парочка""","{'Апельсин': '1 шт', 'Лимон': '1 шт', 'Водка': '0,5 л', 'Кофе натуральный': '50 шт', 'Сахар': '180 г'}"
"Куриные голени, запечённые в баклажане","{'Баклажан': '1 шт', 'Голень куриная': '2 шт', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Перец черный': 'по вкусу', 'Соль': 'по вкусу', 'Масло растительное': '2 ст. л.', 'Сметана': '4 ст. л.', 'Приправа': 'по вкусу', 'Паприка сладкая': '1 ч. л.', 'Чеснок': '2 зуб.'}"
"Торт на сковороде ""Изумруд""","{'Яйцо куриное': '2 шт', 'Молоко сгущенное': '1 бан.', 'Разрыхлитель теста': '11 г', 'Мука пшеничная': '4 стак.', 'Ванилин': '1 г', 'Ром': '2 мл', 'Сливки': '500 мл', 'Семечки подсолнуха': '3 ст. л.', 'Киви': '3 шт', 'Сахар': '4 ст. л.'}"
Томатный соус с грибами,"{'Соус томатный': '700 г', 'Масло сливочное': '40 г', 'Масло растительное': '50 г', 'Грибы': '150 г', 'Вино белое сухое': '100 мл', 'Лук репчатый': '200 г', 'Чеснок': '3 г', 'Перец черный': '1 г'}"
Глазированный лук с прованскими травами,"{'Лук репчатый': '500 г', 'Сахар': '50 г', 'Бульон': '250 мл', 'Масло грецкого ореха': '50 г', 'Специи': '1 щепот.'}"
Запеканка из макарон,"{'Макаронные изделия': '200 г', 'Яйцо куриное': '7 шт', 'Молоко': '350 мл', 'Масло сливочное': '20 г', 'Соль': 'по вкусу'}"
Заливной пирог с абрикосами,"{'Яйцо куриное': '2 шт', 'Творог': '100 г', 'Сливки': '100 мл', 'Сахар': '50 г', 'Ванильный сахар': '1 пакет.', 'Пудинг ванильный': '1 пач.', 'Абрикос': '400 г', 'Смородина красная': '200 г', 'Мука пшеничная': '200 г', 'Разрыхлитель теста': '1 пач.', 'Соль': '1 щепот.', 'Масло подсолнечное': '2 ст. л.'}"
"Закуска ""Натуральные запечённые овощи""","{'Баклажан': '2 шт', 'Кабачок': '1 шт', 'Перец сладкий': '2 шт', 'Помидор': '3 шт', 'Зелень': '1 пуч.', 'Масло оливковое': '1 ст. л.'}"
Шаурма с редиской и рукколой,"{'Бедро куриное': '2 шт', 'Помидор': '2 шт', 'Огурец': '1 шт', 'Редис': '4 шт', 'Руккола': '1 пуч.', 'Майонез': '3 ст. л.', 'Соус': '1,5 ст. л.', 'Чеснок': '3 зуб.', 'Тимьян': '1 щепот.', 'Масло подсолнечное': 'по вкусу', 'Масло сливочное': '50 г'}"
Пудинговые блинчики,"{'Яйцо куриное': '3 шт', 'Молоко': '500 мл', 'Сахар': '5 ст. л.', 'Мука пшеничная': '2,5 стак.', 'Разрыхлитель теста': '1 ч. л.', 'Масло сливочное': '100 г', 'Пудинг': '1 пакет.'}"
"Курица в слоеном тесте ""Спиралька""","{'Филе куриное': '500 г', 'Тесто слоеное дрожжевое': '200 г', 'Карри': '1 ч. л.', 'Соль': 'по вкусу', 'Масло оливковое': '1 ст. л.', 'Кунжут': 'по вкусу'}"
Пирожки из лаваша с зеленым луком,"{'Лаваш': '2 шт', 'Яйцо куриное': '4 шт', 'Лук зеленый': '260 г', 'Масло растительное': 'по вкусу', 'Соль': 'по вкусу'}"
Шерри фаршированные,"{'Помидоры черри': '30 шт', 'Пармезан': '100 г', 'Сухари панировочные': '3 ст. л.', 'Петрушка': '3 ст. л.', 'Базилик': '2 ст. л.', 'Масло оливковое': '2 ст. л.'}"
"Салат ""Рыбный оливье""","{'Семга': '130 г', 'Картофель': '100 г', 'Морковь': '65 г', 'Огурец маринованный': '60 г', 'Лук репчатый': '20 г', 'Горошек зеленый': '70 г', 'Лук зеленый': 'по вкусу', 'Яйцо перепелиное': '5 шт', 'Икра красная': 'по вкусу', 'Сыр сливочный': '30 г', 'Майонез': '1 ст. л.', 'Перец черный': 'по вкусу'}"
Цыпленок с овощами,"{'Цыпленок': '1 шт', 'Картофель': '1 кг', 'Морковь': '1 шт', 'Лук репчатый': '2 шт', 'Чеснок': '3 зуб.', 'Карри': '1 ч. л.', 'Петрушка': '1 ч. л.', 'Укроп': '1 ч. л.', 'Масло оливковое': '3 ст. л.', 'Соль': 'по вкусу', 'Бальзамик': 'по вкусу'}"
"Рыбный суп по-трапански ""Zuppa di pesce""","{'Рыба': '700 г', 'Бульон': '500 г', 'Чеснок': '1 зуб.', 'Лук репчатый': '2 шт', 'Петрушка': '20 г', 'Томаты в собственном соку': '300 г', 'Перец красный жгучий': '20 г', 'Вино белое сухое': '200 г', 'Масло оливковое': '50 г', 'Сельдерей черешковый': '50 г', 'Соль': 'по вкусу'}"
"Кекс ""Лимончик""","{'Масло сливочное': '175 г', 'Мука пшеничная': '225 г', 'Яйцо куриное': '3 шт', 'Сахар': '225 г', 'Молоко': '2 ст. л.', 'Разрыхлитель теста': '1 ч. л.', 'Цедра лимона': '1', 'Сок лимонный': '3 ст. л.', 'Лимон': '1 шт'}"
Курица по-узбекски,"{'Курица': '1 кг', 'Лук репчатый': '1 шт', 'Морковь': '1 шт', 'Чеснок': '4 зуб.', 'Тесто пресное': '1 кг', 'Масло растительное': '200 мл'}"
Маринованный болгарский перец,"{'Перец болгарский': '1.5 кг', 'Вода': '1.5 л', 'Соль': '3 ст. л.', 'Сахар': '10 ст. л.', 'Уксус': '8 ст. л.', 'Перец черный': '15 шт', 'Перец душистый': '3 шт', 'Лист лавровый': '3 шт', 'Масло растительное': '150 мл'}"
"Хлеб ""Pankar ekmegi""","{'Свекла': '2 шт', 'Мука пшеничная': '850 г', 'Орехи грецкие': '100 г', 'Соль': '1 ч. л.', 'Вода': '350 мл', 'Дрожжи': '1 ст. л.'}"
Фасоль с селедкой,"{'Фасоль': '1 бан.', 'Лук репчатый': '2 шт', 'Сельдь': '4 шт', 'Яйцо куриное': '4 шт', 'Майонез': '0,5 бан.'}"
"Шоколадный десерт ""Брауни""","{'Шоколад темный': '100 г', 'Масло сливочное': '170 г', 'Сахар': '200 г', 'Яйцо куриное': '3 шт', 'Мука пшеничная': '125 г', 'Орехи грецкие': '115 г'}"
Нагут,"{'Нут': '1,5 стак.', 'Лук репчатый': '6 шт', 'Морковь': '1  шт', 'Курица': '1  шт'}"
Шоколадные корзиночки с маскарпоновым кремом,"{'Шоколад темный': '200 г', 'Сливки': '250 мл', 'Маскарпоне': '250 г', 'Молоко сгущенное': '70 г', 'Печенье': '6 шт', 'Кофе натуральный': '100 мл'}"
"Быстрое домашнее печенье ""Паве""","{'Мука пшеничная': '150 г', 'Сахарная пудра': '120 г', 'Яйцо куриное': '2 шт', 'Масло сливочное': '120 г', 'Ром': '100 мл', 'Изюм': '50 г'}"
Домашний плавленый сыр,"{'Творог': '600 г', 'Сметана': '3 ст. л.', 'Шампиньоны': '200 г', 'Яйцо куриное': '2 шт', 'Соль': '1 ч. л.', 'Сода': '1 ч. л.', 'Перец черный': '0.5 ч. л.', 'Порошок чесночный': '0.5 ч. л.', 'Петрушка': '0.5 пуч.'}"
Творожная запеканка с яблоками и конфетами,"{'Творог': '1 кг', 'Сметана': '100 г', 'Кефир': '1,5 стак.', 'Крупа манная': '1 стак.', 'Мука пшеничная': '150 г', 'Яйцо куриное': '1 шт', 'Белок яичный': '1 шт', 'Сахар': '100 г', 'Ванилин': '1 пакет.', 'Разрыхлитель теста': '2 ч. л.', 'Яблоко': '2 шт', 'Конфеты': '8 шт'}"
Мясные шарики с красной смородиной,"{'Фарш мясной': '0,5 кг', 'Приправа': '1 пач.', 'Чеснок': '6 зуб.', 'Смородина красная': '1 горст.'}"
Говяжье рагу с луком в пиве,"{'Говядина': '1350 г', 'Масло подсолнечное': '3 ст. л.', 'Лук репчатый': '675 г', 'Чеснок': '4 зуб.', 'Бульон': '250 мл', 'Пиво светлое': '500 мл', 'Сахар коричневый': '2 ст. л.', 'Петрушка': '1 пуч.', 'Лист лавровый': '1 шт', 'Тимьян': '0,5 ч. л.', 'Крахмал кукурузный': '1,5 ст. л.', 'Уксус': '2 ст. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
Семейный пирог-булочки с черемшой,"{'Мука пшеничная': '500 г', 'Вода': '150 мл', 'Сахар': '1 ст. л.', 'Дрожжи': '6 г', 'Яйцо куриное': '3 шт', 'Соль': 'по вкусу', 'Масло подсолнечное': '1 ст. л.', 'Черемша': '1 пуч.', 'Белок яичный': '1 шт', 'Укроп': '10 г', 'Желток яичный': '1 шт', 'Ванилин': '1 щепот.'}"
Творожно-клубничный торт на хлебцах,"{'Хлебцы': '8 шт', 'Творог': '300 г', 'Сливки': '100 мл', 'Клубника': '1 стак.', 'Сахар': '3 ст. л.', 'Орехи грецкие': '2 ст. л.'}"
Салат «Звездная ночь»,"{'Язык свиной': '2 шт', 'Сыр твердый': '100 г', 'Яйцо куриное': '3 шт', 'Брокколи': '200 г', 'Капуста цветная': '200 г', 'Морковь': '4 шт', 'Майонез': '200 г'}"
Кокосанка,"{'Яйцо куриное': '3 шт', 'Сахар': '150 г', 'Стружка кокосовая': '250 г', 'Ванилин': '1 пакет.'}"
"Торт ""Малиновый рай""","{'Яйцо куриное': '8 шт', 'Сахар': '1,5 стак.', 'Мука пшеничная': '2,5 стак.', 'Сметана': '0,5 кг', 'Загуститель для сливок': '2 пач.', 'Малина': '700 г', 'Желе': '2 пач.', 'Сахарная пудра': '1 стак.', 'Ванильный сахар': '1 пач.'}"
"Оригинальный салат ""Мимоза""","{'Масло сливочное': '50 г', 'Яйцо куриное': '6 шт', 'Яблоко': '1 шт', 'Лук репчатый': '1 шт', 'Сыр твердый': '150 г', 'Лосось': '200 г', 'Майонез': '250 г'}"
"Десерт ""Под кокосовой пальмой""","{'Кокос': '1 шт', 'Мороженое': '1 пач.', 'Пюре фруктовое': '100 г', 'Желатин': '1 ч. л.'}"
Лобио из белой фасоли,"{'Орехи грецкие': '1 стак.', 'Чеснок': '1 шт', 'Помидор': '2 шт', 'Лук репчатый': '2 шт', 'Фасоль': '300 г', 'Морковь': '2 шт', 'Кинза': '1 пуч.', 'Специи': '1 ч. л.'}"
Дружная семейка,"{'Вода': '300 мл', 'Соль': '2 ч. л.', 'Сахар': '1,5 ст. л.', 'Масло растительное': '1,5 ст. л.', 'Мука пшеничная': '560 г', 'Дрожжи': '1,5 ч. л.', 'Конфеты': '15 шт'}"
Маффины «Фруктовые»,"{'Масло сливочное': '100 г', 'Сахар': '0,5 стак.', 'Сметана': '5 ст. л.', 'Мука пшеничная': '2 стак.', 'Яйцо куриное': '1 шт', 'Груша': '1 шт', 'Банан': '1 шт', 'Разрыхлитель теста': '0,5 ч. л.', 'Сода': '0,5 ч. л.', 'Цедра апельсина': '1 ст. л.'}"
"Китайские паровые пампушки ""Баоцзы""","{'Мука пшеничная': '3 стак.', 'Вода': '1 стак.', 'Дрожжи': '2 ч. л.', 'Сода': '0,25 ч. л.', 'Фасоль': '0,5 стак.', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Лук зеленый': 'по вкусу', 'Масло оливковое': '2 ст. л.', 'Специи': 'по вкусу'}"
"Салат из перцев и баклажанов ""Оленька""","{'Перец болгарский': '5 шт', 'Баклажан': '3 шт', 'Чеснок': '2 зуб.', 'Петрушка': '0.5 пуч.', 'Масло растительное': '1 ст. л.'}"
Фытыр с шоколадным заварным кремом,"{'Молоко топленое': '220 мл', 'Дрожжи': '1,5 ч. л.', 'Яйцо куриное': '1 шт', 'Мука пшеничная': '2,5 стак.', 'Ванилин': 'по вкусу', 'Сахарная пудра': '1 ст. л.', 'Масло сливочное': '80 г', 'Крем': '1 пакет.', 'Молоко': '300 мл', 'Кунжут': '0.5 ч. л.', 'Желток яичный': '1 шт'}"
Сельдь с яблоком и горчицей,"{'Сельдь': '4 шт', 'Яблоко': '1 шт', 'Лук репчатый': '1 шт', 'Укроп': '3 ст. л.', 'Горчица': '3 ст. л.', 'Сахар': '1.5 ст. л.', 'Уксус': '1 ст. л.', 'Масло растительное': '80 мл', 'Сметана': '200 мл', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
"Картофель, тушенный с копченым мясом","{'Мясо': '500 г', 'Картофель': '1 кг', 'Помидор': '450 г', 'Лук репчатый': '2 шт', 'Специи': 'по вкусу', 'Зелень': 'по вкусу', 'Масло растительное': 'по вкусу', 'Вода': '100 мл'}"
Парафас-лепешки,"{'Мука пшеничная': '250 г', 'Вода': '150 мл', 'Масло топленое': '80 г', 'Соль': '0,5 ч. л.'}"
Куриный суп с рисом и шпинатом,"{'Филе куриное': '1,5 шт', 'Рис': '40 г', 'Шпинат': '200 г', 'Лук репчатый': '1 шт', 'Шампиньоны': '150 г', 'Вода': '2 л', 'Брынза': '50 г'}"
"Огурцы закусочные суточные ""Всегда мало""","{'Огурец': '1 кг', 'Лук зеленый': 'по вкусу', 'Масло растительное': '2 ст. л.', 'Вода': '800 мл', 'Сахар': '80 г', 'Уксус': '50 мл', 'Перец чили': 'по вкусу', 'Соль': '4 ст. л.', 'Соевый соус': '2 ст. л.'}"
"Окрошка ""Нежнейшая""","{'Картофель': '5 шт', 'Огурец': '3 шт', 'Яйцо куриное': '4 шт', 'Филе куриное': '400 г', 'Сметана': '150 г', 'Майонез': '250 г', 'Соль': 'по вкусу', 'Кислота лимонная': 'по вкусу', 'Укроп': 'по вкусу', 'Петрушка': 'по вкусу', 'Лук зеленый': 'по вкусу', 'Вода': '1.5 л'}"
Блинчики с консервированной горбушей и рисом,"{'Яйцо куриное': '2 шт', 'Сметана': '2 ст. л.', 'Сахар': '1 ст. л.', 'Соль': 'по вкусу', 'Молоко': '500 мл', 'Мука пшеничная': '400 г', 'Сода': '1 щепот.', 'Масло растительное': '1 ст. л.', 'Горбуша': '200 г', 'Перец болгарский': '1 шт', 'Рис': '50 г', 'Кукуруза': '2 ст. л.', 'Вода': '100 мл'}"
Солёный шоколад с кислинкой,"{'Шоколад темный': '200 г', 'Гранат': '50 г', 'Соль': '15 г'}"
Курица по-сычуаньски китайская,"{'Перец чили': '1 шт', 'Имбирь': '1 шт', 'Чеснок': '3 зуб.', 'Сахар': '1 ст. л.', 'Цедра апельсина': '1 шт', 'Уксус': '1 ст. л.', 'Вино рисовое': '2 ст. л.', 'Соевый соус': '3 ст. л.', 'Вода': '100 мл', 'Масло растительное': '70 мл', 'Бедро куриное': '800 г'}"
"Салат ""Очарование""","{'Капуста белокочанная': '200 г', 'Семга': '100 г', 'Горошек зеленый': '80 г', 'Майонез': '3 ст. л.', 'Сок лимонный': '2 ст. л.'}"
"Салат из запеченного картофеля ""Перепелочка""","{'Картофель': '400 г', 'Яйцо перепелиное': '20 шт', 'Лук репчатый': '1 шт', 'Лук зеленый': '1 пуч.', 'Соль': '0.5 ч. л.', 'Карри': '1 щепот.', 'Масло растительное': '1 ст. л.', 'Горчица': '1 ст. л.', 'Масло оливковое': '6 ст. л.', 'Уксус': '3 ст. л.'}"
Свекольная заправка,"{'Свекла': '2 кг', 'Помидор': '3 кг', 'Чеснок': '2 шт', 'Масло растительное': '300 мл', 'Перец чили': '2 шт', 'Сахар': '2 ст. л.', 'Соль': '1,5 ст. л.'}"
Чизбургеры с картофелем по-деревенски,"{'Телятина': '300 г', 'Лук репчатый': '3 шт', 'Листья салата': '20 г', 'Сыр мягкий': '3 шт', 'Огурец соленый': '2 шт', 'Лук красный': '1 шт', 'Помидор': '1 шт', 'Булочка': '2 шт', 'Соус томатный': '50 г', 'Зелень': '1 пуч.', 'Чеснок': '5 зуб.', 'Соль': '1 щепот.', 'Специи': '1 щепот.', 'Картофель': '7 шт', 'Масло растительное': '20 мл'}"
Творожный бисквит с клубникой,"{'Яйцо куриное': '10 шт', 'Мука пшеничная': '1 стак.', 'Творог': '150 г', 'Сахар': '150 г', 'Ванильный сахар': '1 пакет.', 'Изюм': '50 г', 'Цедра лимона': '1 ч. л.', 'Клубника': '200 г', 'Масло сливочное': '30 г', 'Сахарная пудра': '1 ст. л.'}"
Закуска «куриные ломтики»,"{'Фарш куриный': '800 г', 'Укроп': '1 пуч.', 'Петрушка': '1 пуч.', 'Сыр твердый': '200 г', 'Яйцо куриное': '1 шт', 'Сухари панировочные': '5 ст. л.', 'Майонез': '3 ст. л.', 'Соевый соус': '1 ст. л.', 'Специи': 'по вкусу'}"
Картофель со сливками и укропом,"{'Укроп': '1 пуч.', 'Сливки': '200 мл', 'Масло топленое': '30 г', 'Картофель': '1 кг', 'Перец черный': 'по вкусу', 'Фасоль': 'по вкусу'}"
Морковно-тыквенный блинный торт,"{'Морковь': '3 шт', 'Тыква': '300 г', 'Мука пшеничная': '7 ст. л.', 'Яйцо куриное': '3 шт', 'Молоко': '50 мл', 'Сахар тростниковый': '3 ст. л.', 'Орехи грецкие': '100 г', 'Сметана': '250 г', 'Масло растительное': '2 ст. л.', 'Сахарная пудра': '100 г', 'Стружка кокосовая': '50 г'}"
"Салат ""Зеленый""","{'Листья салата': '80 г', 'Щавель': '50 г', 'Шпинат': '50 г', 'Лимон': '3 ломт.', 'Огурец': '2 шт', 'Имбирь': '1 ч. л.', 'Соль': 'по вкусу', 'Масло оливковое': '3 ст. л.'}"
Хлеб тыквенный с изюмом,"{'Тыква': '200 г', 'Мука пшеничная': '500 г', 'Крупа манная': '100 г', 'Йогурт': '100 мл', 'Вода': '50 мл', 'Масло кукурузное': '50 мл', 'Яйцо куриное': '1 шт', 'Изюм': '50 г', 'Соль': '1,5 ч. л.', 'Сахар': '2 ст. л.', 'Дрожжи': '1 ч. л.'}"
Дип из баклажанов и помидоров,"{'Баклажан': '1 шт', 'Помидор': '4 шт', 'Масло оливковое': '3 ст. л.', 'Томатная паста': '1 ст. л.', 'Чеснок': '2 зуб.', 'Яйцо куриное': '2 шт', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Перец красный жгучий': 'по вкусу', 'Куркума': '0.5 ч. л.'}"
"Яблочный пирог ""Апфелькухен Марии""","{'Масло сливочное': '250 г', 'Сахар': '250 г', 'Разрыхлитель теста': '1,5 ч. л.', 'Яйцо куриное': '5 шт', 'Ваниль': '1 г', 'Мука пшеничная': '350 г', 'Цедра лимона': '1 ч. л.', 'Яблоко': '1 кг'}"
Кабачки и цуккини на зиму по-украински,"{'Кабачок': '3 кг', 'Морковь': '3 шт', 'Чеснок': '0,5 стак.', 'Томатная паста': '0,5 л', 'Уксус': '0,5 стак.', 'Масло растительное': '1 стак.', 'Соль': '1 ст. л.', 'Сахар': '1 стак.'}"
"Рис ""быстрый ужин""","{'Рис': '500 г', 'Горошек зеленый': '1 шт', 'Кукуруза': '1 шт', 'Морковь': '1 шт', 'Чеснок': '6 зуб.', 'Томатная паста': '1 ст. л.', 'Укроп': '1 пуч.', 'Перец черный': '6 шт', 'Приправа': '1 упак.', 'Соль': 'по вкусу'}"
Слоеные палочки с маком и корицей,"{'Тесто слоеное бездрожжевое': '500 г', 'Мак': '100 г', 'Корица': '20 г', 'Сахар': '2 ч. л.', 'Вода': '1 стак.'}"
"Радужная форель, запеченная в духовке","{'Форель': '600 г', 'Соль': '2 ч. л.', 'Смесь перцев': '1 ч. л.', 'Чеснок': '2 зуб.', 'Лимон': '4 ломт.', 'Уксус': '20 г', 'Масло оливковое': '2 ст. л.', 'Петрушка': '2 веточ.'}"
Диетический суп по-японски,"{'Рис': '50 г', 'Капуста морская': '250 г', 'Яйцо куриное': '1 шт', 'Минтай': '1 шт', 'Соль': 'по вкусу', 'Уксус': '1 ст. л.', 'Соевый соус': '1 ст. л.', 'Лук репчатый': '1 шт'}"
"Мясо в духовке ""Ароматное""","{'Мясо': '1 кг', 'Горчица': '4 ст. л.', 'Лук белый': '1 шт', 'Сметана': '6 ст. л.', 'Чеснок': '2 зуб.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
Блинчики в ягодном соусе,"{'Блин': '12 шт', 'Малина': '100 г', 'Смородина красная': '80 г', 'Смородина черная': '80 г', 'Сахар': '100 г', 'Крахмал': '1 ч. л.', 'Масло растительное': '4 ст. л.'}"
